Pair_Name,Ligand_ApprovedSymbol,Ligand_Name,Receptor_ApprovedSymbol,Receptor_Name,DLRP,HPMR,IUPHAR,HPRD,STRING_binding,STRING_experiment,HPMR_Ligand,HPMR_Receptor,PMID_Manual,Pair_Source,Pair_Evidence
CSF2_CSF2RA,Csf2,"colony stimulating factor 2 (granulocyte-macrophage)",Csf2ra,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,CSF2,CSF2RA,"",known,literature supported
CSF2_CSF3R,Csf2,"colony stimulating factor 2 (granulocyte-macrophage)",Csf3r,"colony stimulating factor 3 receptor (granulocyte)",,HPMR,,,,,CSF2,CSF3R,"",known,literature supported
CSF2_IL3RA,Csf2,"colony stimulating factor 2 (granulocyte-macrophage)",Il3ra,"interleukin 3 receptor, alpha (low affinity)",,,,HPRD,,,CSF2,IL3RA,"",novel,literature supported
CSF2_SDC2,Csf2,"colony stimulating factor 2 (granulocyte-macrophage)",Sdc2,"syndecan 2",,,,HPRD,STRING.binding,,CSF2,SDC2,"",novel,literature supported
CSF3_CSF1R,Csf3,"colony stimulating factor 3 (granulocyte)",Csf1r,"colony stimulating factor 1 receptor",,,IUPHAR,,,,,CSF1R,"",known,literature supported
CSF3_CSF3R,Csf3,"colony stimulating factor 3 (granulocyte)",Csf3r,"colony stimulating factor 3 receptor (granulocyte)",DLRP,,IUPHAR,HPRD,,,,CSF3R,"",known,literature supported
CSHL1_PRLR,Gh,"chorionic somatomammotropin hormone-like 1",Prlr,"prolactin receptor",,,IUPHAR,,,,,PRLR,"",known,literature supported
CTF1_IL6ST,Ctf1,"cardiotrophin 1",Il6st,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",DLRP,,,HPRD,,,,IL6ST,"",known,literature supported
CTF1_LIFR,Ctf1,"cardiotrophin 1",Lifr,"leukemia inhibitory factor receptor alpha",DLRP,,,HPRD,STRING.binding,,,LIFR,"",known,literature supported
CTGF_ERBB4,Ctgf,"connective tissue growth factor",Erbb4,"v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4",,,,HPRD,,,CTGF,ERBB4,"",novel,literature supported
CTGF_ITGA5,Ctgf,"connective tissue growth factor",Itga5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,,,,,,"18167060",novel,literature supported
CTGF_ITGAM,Ctgf,"connective tissue growth factor",Itgam,"integrin, alpha M (complement component 3 receptor 3 subunit)",,HPMR,,,STRING.binding,,CTGF,ITGAM,"",known,literature supported
CTGF_ITGB2,Ctgf,"connective tissue growth factor",Itgb2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",,HPMR,,,STRING.binding,,CTGF,ITGB2,"",known,literature supported
CTGF_LRP1,Ctgf,"connective tissue growth factor",Lrp1,"low density lipoprotein receptor-related protein 1",,,,HPRD,,,CTGF,LRP1,"",novel,literature supported
CTGF_LRP6,Ctgf,"connective tissue growth factor",Lrp6,"low density lipoprotein receptor-related protein 6",,HPMR,,,,,CTGF,LRP6,"",known,literature supported
CTGF_NTRK1,Ctgf,"connective tissue growth factor",Ntrk1,"neurotrophic tyrosine kinase, receptor, type 1",,,,,STRING.binding,,CTGF,NTRK1,"15601748",novel,literature supported
CTHRC1_FZD3,Cthrc1,"collagen triple helix repeat containing 1",Fzd3,"frizzled class receptor 3",,,,,,,,,"18606138",novel,literature supported
CTHRC1_FZD5,Cthrc1,"collagen triple helix repeat containing 1",Fzd5,"frizzled class receptor 5",,,,,STRING.binding,,,FZD5,"18606138",novel,literature supported
CTHRC1_FZD6,Cthrc1,"collagen triple helix repeat containing 1",Fzd6,"frizzled class receptor 6",,,,,STRING.binding,,,FZD6,"18606138",novel,literature supported
CUBN_LRP2,Cubn,"cubilin (intrinsic factor-cobalamin receptor)",Lrp2,"low density lipoprotein receptor-related protein 2",,,,HPRD,STRING.binding,,,LRP2,"",novel,literature supported
CX3CL1_CX3CR1,Cx3cl1,"chemokine (C-X3-C motif) ligand 1",Cx3cr1,"chemokine (C-X3-C motif) receptor 1",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,CX3CL1,CX3CR1,"",known,literature supported
CXCL10_CCR3,Cxcl10,"chemokine (C-X-C motif) ligand 10",Ccr3,"chemokine (C-C motif) receptor 3",,,IUPHAR,HPRD,,,CXCL10,CCR3,"",known,literature supported
CXCL10_CXCR3,Cxcl10,"chemokine (C-X-C motif) ligand 10",Cxcr3,"chemokine (C-X-C motif) receptor 3",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,CXCL10,CXCR3,"",known,literature supported
CXCL10_SDC4,Cxcl10,"chemokine (C-X-C motif) ligand 10",Sdc4,"syndecan 4",,,,,STRING.binding,,CXCL10,SDC4,"20484822",novel,literature supported
CXCL12_ACKR3,Cxcl12,"chemokine (C-X-C motif) ligand 12",Ackr3,"atypical chemokine receptor 3",,HPMR,IUPHAR,,STRING.binding,,CXCL12,CMKOR1,"",known,literature supported
CXCL12_CD4,Cxcl12,"chemokine (C-X-C motif) ligand 12",Cd4,"CD4 molecule",,,,HPRD,,,CXCL12,,"",novel,literature supported
CXCL12_CXCR3,Cxcl12,"chemokine (C-X-C motif) ligand 12",Cxcr3,"chemokine (C-X-C motif) receptor 3",,HPMR,IUPHAR,,,,CXCL12,CXCR3,"",known,literature supported
CXCL12_CXCR4,Cxcl12,"chemokine (C-X-C motif) ligand 12",Cxcr4,"chemokine (C-X-C motif) receptor 4",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,CXCL12,CXCR4,"",known,literature supported
CXCL12_ITGB1,Cxcl12,"chemokine (C-X-C motif) ligand 12",Itgb1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,,"18448868",novel,literature supported
CXCL13_ACKR4,Cxcl13,"chemokine (C-X-C motif) ligand 13",Ackr4,"atypical chemokine receptor 4",,,,HPRD,,,CXCL13,CCRL1,"",novel,literature supported
CXCL13_CCR10,Cxcl13,"chemokine (C-X-C motif) ligand 13",Ccr10,"chemokine (C-C motif) receptor 10",,,,HPRD,,,CXCL13,CCR10,"",novel,literature supported
CXCL13_CXCR3,Cxcl13,"chemokine (C-X-C motif) ligand 13",Cxcr3,"chemokine (C-X-C motif) receptor 3",,,,HPRD,STRING.binding,,CXCL13,CXCR3,"",novel,literature supported
CXCL13_CXCR5,Cxcl13,"chemokine (C-X-C motif) ligand 13",Cxcr5,"chemokine (C-X-C motif) receptor 5",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,CXCL13,BLR1,"",known,literature supported
CXCL16_CXCR6,Cxcl16,"chemokine (C-X-C motif) ligand 16",Cxcr6,"chemokine (C-X-C motif) receptor 6",,HPMR,IUPHAR,HPRD,STRING.binding,,CXCL16,CXCR6,"",known,literature supported
CXCL2_CXCR1,Cxcl1,"chemokine (C-X-C motif) ligand 2",Cxcr1,"chemokine (C-X-C motif) receptor 1",,HPMR,,HPRD,,,CXCL2,IL8RA,"",known,literature supported
CXCL2_CXCR2,Cxcl1,"chemokine (C-X-C motif) ligand 2",Cxcr2,"chemokine (C-X-C motif) receptor 2",DLRP,,IUPHAR,HPRD,,,CXCL2,IL8RB,"",known,literature supported
CXCL2_XCR1,Cxcl1,"chemokine (C-X-C motif) ligand 2",Xcr1,"chemokine (C motif) receptor 1",,HPMR,,,,,CXCL2,XCR1,"",known,literature supported
CXCL3_CXCR1,Cxcl2,"chemokine (C-X-C motif) ligand 3",Cxcr1,"chemokine (C-X-C motif) receptor 1",,HPMR,,HPRD,,,CXCL3,IL8RA,"",known,literature supported
CXCL3_CXCR2,Cxcl2,"chemokine (C-X-C motif) ligand 3",Cxcr2,"chemokine (C-X-C motif) receptor 2",DLRP,,IUPHAR,HPRD,STRING.binding,,CXCL3,IL8RB,"",known,literature supported
CXCL6_CXCR1,Cxcl5,"chemokine (C-X-C motif) ligand 6",Cxcr1,"chemokine (C-X-C motif) receptor 1",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,,CXCL6,IL8RA,"",known,literature supported
CXCL6_CXCR2,Cxcl5,"chemokine (C-X-C motif) ligand 6",Cxcr2,"chemokine (C-X-C motif) receptor 2",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,,CXCL6,IL8RB,"",known,literature supported
CYR61_ITGA5,Cyr61,"cysteine-rich, angiogenic inducer, 61",Itga5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,HPMR,,,,,CYR61,ITGA5,"",known,literature supported
CYR61_ITGAM,Cyr61,"cysteine-rich, angiogenic inducer, 61",Itgam,"integrin, alpha M (complement component 3 receptor 3 subunit)",,HPMR,,,STRING.binding,,CYR61,ITGAM,"",known,literature supported
CYR61_ITGAV,Cyr61,"cysteine-rich, angiogenic inducer, 61",Itgav,"integrin, alpha V",,,,HPRD,STRING.binding,STRING.experiment,CYR61,ITGAV,"",novel,literature supported
CYR61_ITGB2,Cyr61,"cysteine-rich, angiogenic inducer, 61",Itgb2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",,HPMR,,,STRING.binding,,CYR61,ITGB2,"",known,literature supported
CYR61_ITGB3,Cyr61,"cysteine-rich, angiogenic inducer, 61",Itgb3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",,HPMR,,,,,CYR61,ITGB3,"",known,literature supported
CYR61_ITGB5,Cyr61,"cysteine-rich, angiogenic inducer, 61",Itgb5,"integrin, beta 5",,,,HPRD,STRING.binding,,CYR61,ITGB5,"",novel,literature supported
DCN_EGFR,Dcn,"decorin",Egfr,"epidermal growth factor receptor",,,,HPRD,STRING.binding,STRING.experiment,,EGFR,"",novel,literature supported
DCN_ERBB4,Dcn,"decorin",Erbb4,"v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4",,,,,STRING.binding,,,ERBB4,"10942781",novel,literature supported
DCN_MET,Dcn,"decorin",Met,"met proto-oncogene",,,,,,,,,"10942781",novel,literature supported
DHH_BOC,Dhh,"desert hedgehog",Boc,"BOC cell adhesion associated, oncogene regulated",,,,,STRING.binding,STRING.experiment,DHH,BOC,"20519495",novel,literature supported
DHH_CDON,Dhh,"desert hedgehog",Cdon,"cell adhesion associated, oncogene regulated",,,,,STRING.binding,STRING.experiment,DHH,CDON,"20519495",novel,literature supported
DHH_HHIP,Dhh,"desert hedgehog",Hhip,"hedgehog interacting protein",,HPMR,,HPRD,STRING.binding,STRING.experiment,DHH,HHIP,"",known,literature supported
DHH_PTCH1,Dhh,"desert hedgehog",Ptch1,"patched 1",,,,HPRD,STRING.binding,,DHH,PTCH,"",novel,literature supported
DHH_PTCH2,Dhh,"desert hedgehog",Ptch2,"patched 2",,HPMR,,HPRD,STRING.binding,,DHH,PTCH2,"",known,literature supported
DKK1_KREMEN1,Dkk1,"dickkopf WNT signaling pathway inhibitor 1",Kremen1,"kringle containing transmembrane protein 1",,HPMR,,HPRD,STRING.binding,STRING.experiment,DKK1,KREMEN1,"",known,literature supported
DKK1_KREMEN2,Dkk1,"dickkopf WNT signaling pathway inhibitor 1",Kremen2,"kringle containing transmembrane protein 2",,HPMR,,,STRING.binding,,DKK1,KREMEN2,"",known,literature supported
DKK1_LRP5,Dkk1,"dickkopf WNT signaling pathway inhibitor 1",Lrp5,"low density lipoprotein receptor-related protein 5",,,,HPRD,STRING.binding,,DKK1,LRP5,"",novel,literature supported
DKK1_LRP6,Dkk1,"dickkopf WNT signaling pathway inhibitor 1",Lrp6,"low density lipoprotein receptor-related protein 6",,HPMR,,HPRD,STRING.binding,STRING.experiment,DKK1,LRP6,"",known,literature supported
DKK2_KREMEN2,Dkk2,"dickkopf WNT signaling pathway inhibitor 2",Kremen2,"kringle containing transmembrane protein 2",,,,,STRING.binding,,DKK2,KREMEN2,"12527209",novel,literature supported
DKK2_LRP6,Dkk2,"dickkopf WNT signaling pathway inhibitor 2",Lrp6,"low density lipoprotein receptor-related protein 6",,HPMR,,HPRD,STRING.binding,STRING.experiment,DKK2,LRP6,"",known,literature supported
DLK1_NOTCH1,Dlk1,"delta-like 1 homolog (Drosophila)",Notch1,"notch 1",DLRP,,,,STRING.binding,,,NOTCH1,"21419176",known,literature supported
DLK2_NOTCH1,Dlk2,"delta-like 2 homolog (Drosophila)",Notch1,"notch 1",,,,,,,,,"21419176",novel,literature supported
DLL1_NOTCH1,Dll1,"delta-like 1 (Drosophila)",Notch1,"notch 1",DLRP,HPMR,,HPRD,STRING.binding,,DLL1,NOTCH1,"",known,literature supported
DLL1_NOTCH2,Dll1,"delta-like 1 (Drosophila)",Notch2,"notch 2",DLRP,,,HPRD,STRING.binding,STRING.experiment,DLL1,NOTCH2,"",known,literature supported
DLL1_NOTCH3,Dll1,"delta-like 1 (Drosophila)",Notch3,"notch 3",DLRP,,,HPRD,STRING.binding,STRING.experiment,DLL1,NOTCH3,"",known,literature supported
DLL4_NOTCH1,Dll4,"delta-like 4 (Drosophila)",Notch1,"notch 1",DLRP,HPMR,,HPRD,STRING.binding,,DLL4,NOTCH1,"",known,literature supported
DLL4_NOTCH2,Dll4,"delta-like 4 (Drosophila)",Notch2,"notch 2",DLRP,,,,STRING.binding,,DLL4,NOTCH2,"22842086",known,literature supported
DLL4_NOTCH3,Dll4,"delta-like 4 (Drosophila)",Notch3,"notch 3",DLRP,,,,STRING.binding,,DLL4,NOTCH3,"18182388",known,literature supported
DLL4_NOTCH4,Dll4,"delta-like 4 (Drosophila)",Notch4,"notch 4",DLRP,HPMR,,HPRD,,,DLL4,NOTCH4,"",known,literature supported
EBI3_IL27RA,Ebi3,"Epstein-Barr virus induced 3",Il27ra,"interleukin 27 receptor, alpha",,,,HPRD,STRING.binding,,,,"",novel,literature supported
EDIL3_ITGAV,Edil3,"EGF-like repeats and discoidin I-like domains 3",Itgav,"integrin, alpha V",,,,HPRD,STRING.binding,,,ITGAV,"",novel,literature supported
EDN1_EDNRA,Edn1,"endothelin 1",Ednra,"endothelin receptor type A",,HPMR,IUPHAR,HPRD,STRING.binding,,EDN1,EDNRA,"",known,literature supported
EDN1_EDNRB,Edn1,"endothelin 1",Ednrb,"endothelin receptor type B",,,,HPRD,STRING.binding,,EDN1,EDNRB,"",novel,literature supported
EDN1_KEL,Edn1,"endothelin 1",Kel,"Kell blood group, metallo-endopeptidase",,,,HPRD,,,EDN1,,"",novel,literature supported
EDN2_EDNRA,Edn2,"endothelin 2",Ednra,"endothelin receptor type A",,HPMR,IUPHAR,,STRING.binding,,EDN2,EDNRA,"",known,literature supported
EDN2_EDNRB,Edn2,"endothelin 2",Ednrb,"endothelin receptor type B",,,,,STRING.binding,,EDN2,EDNRB,"14659083",novel,literature supported
EDN2_KEL,Edn2,"endothelin 2",Kel,"Kell blood group, metallo-endopeptidase",,,,HPRD,,,EDN2,,"",novel,literature supported
EDN3_EDNRA,Edn3,"endothelin 3",Ednra,"endothelin receptor type A",,,,HPRD,STRING.binding,,EDN3,EDNRA,"",novel,literature supported
EDN3_EDNRB,Edn3,"endothelin 3",Ednrb,"endothelin receptor type B",,HPMR,IUPHAR,HPRD,STRING.binding,,EDN3,EDNRB,"",known,literature supported
EDN3_KEL,Edn3,"endothelin 3",Kel,"Kell blood group, metallo-endopeptidase",,,,HPRD,,,EDN3,,"",novel,literature supported
EFEMP1_EGFR,Efemp1,"EGF containing fibulin-like extracellular matrix protein 1",Egfr,"epidermal growth factor receptor",,,,,STRING.binding,,,EGFR,"19804359",novel,literature supported
EFEMP2_AQP1,Efemp2,"EGF containing fibulin-like extracellular matrix protein 2",Aqp1,"aquaporin 1 (Colton blood group)",,,,HPRD,,,,,"",novel,literature supported
EFEMP2_CATSPER1,Efemp2,"EGF containing fibulin-like extracellular matrix protein 2",Catsper1,"cation channel, sperm associated 1",,,,HPRD,,,,,"",novel,literature supported
EFEMP2_LINGO1,Efemp2,"EGF containing fibulin-like extracellular matrix protein 2",Lingo1,"leucine rich repeat and Ig domain containing 1",,,,HPRD,,,,LRRN6A,"",novel,literature supported
EFEMP2_PLSCR4,Efemp2,"EGF containing fibulin-like extracellular matrix protein 2",Plscr4,"phospholipid scramblase 4",,,,HPRD,,,,,"",novel,literature supported
EFNA1_EPHA1,Efna1,"ephrin-A1",Epha1,"EPH receptor A1",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,EFNA1,EPHA1,"",known,literature supported
EFNA1_EPHA2,Efna1,"ephrin-A1",Epha2,"EPH receptor A2",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,EFNA1,EPHA2,"",known,literature supported
EFNA1_EPHA3,Efna1,"ephrin-A1",Epha3,"EPH receptor A3",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,EFNA1,EPHA3,"",known,literature supported
EFNA1_EPHA4,Efna1,"ephrin-A1",Epha4,"EPH receptor A4",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,EFNA1,EPHA4,"",known,literature supported
EFNA1_EPHA5,Efna1,"ephrin-A1",Epha5,"EPH receptor A5",DLRP,HPMR,,HPRD,,STRING.experiment,EFNA1,EPHA5,"",known,literature supported
EFNA1_EPHA6,Efna1,"ephrin-A1",Epha6,"EPH receptor A6",,HPMR,,HPRD,,STRING.experiment,EFNA1,EPHA6,"",known,literature supported
EFNA1_EPHA7,Efna1,"ephrin-A1",Epha7,"EPH receptor A7",DLRP,HPMR,,HPRD,,STRING.experiment,EFNA1,EPHA7,"",known,literature supported
EFNA1_EPHA8,Efna1,"ephrin-A1",Epha8,"EPH receptor A8",DLRP,,,HPRD,,,EFNA1,EPHA8,"",known,literature supported
EFNA1_EPHB1,Efna1,"ephrin-A1",Ephb1,"EPH receptor B1",,,,HPRD,,,EFNA1,EPHB1,"",novel,literature supported
EFNA2_EPHA2,Efna2,"ephrin-A2",Epha2,"EPH receptor A2",DLRP,,,HPRD,,STRING.experiment,EFNA2,EPHA2,"",known,literature supported
EFNA2_EPHA3,Efna2,"ephrin-A2",Epha3,"EPH receptor A3",DLRP,HPMR,,HPRD,STRING.binding,,EFNA2,EPHA3,"",known,literature supported
EFNA2_EPHA4,Efna2,"ephrin-A2",Epha4,"EPH receptor A4",DLRP,HPMR,,,STRING.binding,STRING.experiment,EFNA2,EPHA4,"",known,literature supported
EFNA2_EPHA5,Efna2,"ephrin-A2",Epha5,"EPH receptor A5",DLRP,HPMR,,HPRD,STRING.binding,,EFNA2,EPHA5,"",known,literature supported
EFNA2_EPHA6,Efna2,"ephrin-A2",Epha6,"EPH receptor A6",,HPMR,,,STRING.binding,,EFNA2,EPHA6,"",known,literature supported
EFNA2_EPHA7,Efna2,"ephrin-A2",Epha7,"EPH receptor A7",DLRP,HPMR,,,STRING.binding,,EFNA2,EPHA7,"",known,literature supported
EFNA2_EPHA8,Efna2,"ephrin-A2",Epha8,"EPH receptor A8",DLRP,HPMR,,,,,EFNA2,EPHA8,"",known,literature supported
EFNA3_EPHA1,Efna3,"ephrin-A3",Epha1,"EPH receptor A1",DLRP,,,,,,EFNA3,EPHA1,"16466970",known,literature supported
EFNA3_EPHA2,Efna3,"ephrin-A3",Epha2,"EPH receptor A2",DLRP,HPMR,,HPRD,,,EFNA3,EPHA2,"",known,literature supported
EFNA3_EPHA3,Efna3,"ephrin-A3",Epha3,"EPH receptor A3",DLRP,HPMR,,,,,EFNA3,EPHA3,"",known,literature supported
EFNA3_EPHA4,Efna3,"ephrin-A3",Epha4,"EPH receptor A4",DLRP,HPMR,,HPRD,STRING.binding,,EFNA3,EPHA4,"",known,literature supported
EFNA3_EPHA5,Efna3,"ephrin-A3",Epha5,"EPH receptor A5",DLRP,HPMR,,HPRD,,,EFNA3,EPHA5,"",known,literature supported
EFNA3_EPHA6,Efna3,"ephrin-A3",Epha6,"EPH receptor A6",,HPMR,,,STRING.binding,STRING.experiment,EFNA3,EPHA6,"",known,literature supported
EFNA3_EPHA7,Efna3,"ephrin-A3",Epha7,"EPH receptor A7",DLRP,HPMR,,HPRD,,,EFNA3,EPHA7,"",known,literature supported
EFNA3_EPHA8,Efna3,"ephrin-A3",Epha8,"EPH receptor A8",DLRP,HPMR,,,,,EFNA3,EPHA8,"",known,literature supported
EFNA3_EPHB1,Efna3,"ephrin-A3",Ephb1,"EPH receptor B1",,HPMR,,,,,EFNA3,EPHB1,"",known,literature supported
EFNA4_EPHA2,Efna4,"ephrin-A4",Epha2,"EPH receptor A2",DLRP,HPMR,,HPRD,,,EFNA4,EPHA2,"",known,literature supported
EFNA4_EPHA3,Efna4,"ephrin-A4",Epha3,"EPH receptor A3",DLRP,,,,,,EFNA4,EPHA3,"8755474",known,literature supported
EFNA4_EPHA4,Efna4,"ephrin-A4",Epha4,"EPH receptor A4",DLRP,,,HPRD,,,EFNA4,EPHA4,"",known,literature supported
EFNA4_EPHA5,Efna4,"ephrin-A4",Epha5,"EPH receptor A5",DLRP,HPMR,,HPRD,,,EFNA4,EPHA5,"",known,literature supported
EFNA4_EPHA6,Efna4,"ephrin-A4",Epha6,"EPH receptor A6",,HPMR,,HPRD,,,EFNA4,EPHA6,"",known,literature supported
EFNA4_EPHA7,Efna4,"ephrin-A4",Epha7,"EPH receptor A7",DLRP,,,HPRD,,,EFNA4,EPHA7,"",known,literature supported
EFNA4_EPHA8,Efna4,"ephrin-A4",Epha8,"EPH receptor A8",DLRP,,,HPRD,,,EFNA4,EPHA8,"",known,literature supported
EFNA5_EPHA2,Efna5,"ephrin-A5",Epha2,"EPH receptor A2",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,EFNA5,EPHA2,"",known,literature supported
EFNA5_EPHA3,Efna5,"ephrin-A5",Epha3,"EPH receptor A3",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,EFNA5,EPHA3,"",known,literature supported
EFNA5_EPHA4,Efna5,"ephrin-A5",Epha4,"EPH receptor A4",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,EFNA5,EPHA4,"",known,literature supported
EFNA5_EPHA5,Efna5,"ephrin-A5",Epha5,"EPH receptor A5",DLRP,HPMR,,HPRD,STRING.binding,,EFNA5,EPHA5,"",known,literature supported
EFNA5_EPHA6,Efna5,"ephrin-A5",Epha6,"EPH receptor A6",,HPMR,,,STRING.binding,STRING.experiment,EFNA5,EPHA6,"",known,literature supported
EFNA5_EPHA7,Efna5,"ephrin-A5",Epha7,"EPH receptor A7",DLRP,,,HPRD,STRING.binding,STRING.experiment,EFNA5,EPHA7,"",known,literature supported
EFNA5_EPHA8,Efna5,"ephrin-A5",Epha8,"EPH receptor A8",DLRP,HPMR,,HPRD,STRING.binding,,EFNA5,EPHA8,"",known,literature supported
EFNA5_EPHB1,Efna5,"ephrin-A5",Ephb1,"EPH receptor B1",,,,HPRD,,,EFNA5,EPHB1,"",novel,literature supported
EFNA5_EPHB2,Efna5,"ephrin-A5",Ephb2,"EPH receptor B2",,HPMR,,HPRD,STRING.binding,,EFNA5,EPHB2,"",known,literature supported
EFNA5_EPHB6,Efna5,"ephrin-A5",Ephb6,"EPH receptor B6",,,,,STRING.binding,STRING.experiment,EFNA5,EPHB6,"15107857",novel,literature supported
EFNB1_EPHB1,Efnb1,"ephrin-B1",Ephb1,"EPH receptor B1",DLRP,HPMR,,HPRD,STRING.binding,,EFNB1,EPHB1,"",known,literature supported
EFNB1_EPHB2,Efnb1,"ephrin-B1",Ephb2,"EPH receptor B2",DLRP,HPMR,,HPRD,STRING.binding,,EFNB1,EPHB2,"",known,literature supported
EFNB1_EPHB3,Efnb1,"ephrin-B1",Ephb3,"EPH receptor B3",DLRP,HPMR,,,STRING.binding,,EFNB1,EPHB3,"",known,literature supported
EFNB1_EPHB4,Efnb1,"ephrin-B1",Ephb4,"EPH receptor B4",DLRP,HPMR,,,,,EFNB1,EPHB4,"",known,literature supported
EFNB1_EPHB6,Efnb1,"ephrin-B1",Ephb6,"EPH receptor B6",DLRP,HPMR,,,STRING.binding,STRING.experiment,EFNB1,EPHB6,"",known,literature supported
EFNB1_ERBB2,Efnb1,"ephrin-B1",Erbb2,"v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2",,,,,STRING.binding,,EFNB1,ERBB2,"22279592",novel,literature supported
EFNB2_EPHA3,Efnb2,"ephrin-B2",Epha3,"EPH receptor A3",,,,HPRD,STRING.binding,STRING.experiment,EFNB2,EPHA3,"",novel,literature supported
EFNB2_EPHA4,Efnb2,"ephrin-B2",Epha4,"EPH receptor A4",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,EFNB2,EPHA4,"",known,literature supported
EFNB2_EPHA6,Efnb2,"ephrin-B2",Epha6,"EPH receptor A6",,,,,STRING.binding,STRING.experiment,EFNB2,EPHA6,"10648835",novel,literature supported
EFNB2_EPHB1,Efnb2,"ephrin-B2",Ephb1,"EPH receptor B1",DLRP,HPMR,,HPRD,STRING.binding,,EFNB2,EPHB1,"",known,literature supported
EFNB2_EPHB2,Efnb2,"ephrin-B2",Ephb2,"EPH receptor B2",DLRP,HPMR,,HPRD,STRING.binding,,EFNB2,EPHB2,"",known,literature supported
EFNB2_EPHB3,Efnb2,"ephrin-B2",Ephb3,"EPH receptor B3",DLRP,HPMR,,,STRING.binding,,EFNB2,EPHB3,"",known,literature supported
EFNB2_EPHB4,Efnb2,"ephrin-B2",Ephb4,"EPH receptor B4",DLRP,HPMR,,HPRD,STRING.binding,STRING.experiment,EFNB2,EPHB4,"",known,literature supported
EFNB2_EPHB6,Efnb2,"ephrin-B2",Ephb6,"EPH receptor B6",DLRP,,,HPRD,STRING.binding,STRING.experiment,EFNB2,EPHB6,"",known,literature supported
EFNB2_GRM1,Efnb2,"ephrin-B2",Grm1,"glutamate receptor, metabotropic 1",,,,HPRD,,,EFNB2,GRM1,"",novel,literature supported
EFNB2_GRM5,Efnb2,"ephrin-B2",Grm5,"glutamate receptor, metabotropic 5",,,,HPRD,STRING.binding,,EFNB2,GRM5,"",novel,literature supported
EFNB2_PECAM1,Efnb2,"ephrin-B2",Pecam1,"platelet/endothelial cell adhesion molecule 1",,,,HPRD,,,EFNB2,,"",novel,literature supported
EFNB2_RHBDL2,Efnb2,"ephrin-B2",Rhbdl2,"rhomboid, veinlet-like 2 (Drosophila)",,,,HPRD,,,EFNB2,,"",novel,literature supported
EFNB3_EPHA4,Efnb3,"ephrin-B3",Epha4,"EPH receptor A4",DLRP,HPMR,,HPRD,,STRING.experiment,EFNB3,EPHA4,"",known,literature supported
EFNB3_EPHB2,Efnb3,"ephrin-B3",Ephb2,"EPH receptor B2",DLRP,HPMR,,,STRING.binding,,EFNB3,EPHB2,"",known,literature supported
EFNB3_EPHB3,Efnb3,"ephrin-B3",Ephb3,"EPH receptor B3",DLRP,HPMR,,HPRD,STRING.binding,,EFNB3,EPHB3,"",known,literature supported
EFNB3_EPHB4,Efnb3,"ephrin-B3",Ephb4,"EPH receptor B4",DLRP,,,,,,EFNB3,EPHB4,"8755474",known,literature supported
EFNB3_RHBDL2,Efnb3,"ephrin-B3",Rhbdl2,"rhomboid, veinlet-like 2 (Drosophila)",,,,HPRD,,,EFNB3,,"",novel,literature supported
EGF_EGFR,Egf,"epidermal growth factor",Egfr,"epidermal growth factor receptor",DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,EGF,EGFR,"",known,literature supported
EGF_ERBB2,Egf,"epidermal growth factor",Erbb2,"v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2",,,,HPRD,STRING.binding,,EGF,ERBB2,"",novel,literature supported
EGF_ERBB3,Egf,"epidermal growth factor",Erbb3,"v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3",,,,HPRD,STRING.binding,,EGF,ERBB3,"",novel,literature supported
